tweet_id,tweet_text,topic,sentiment
1.46094E+18,@AmitAryaMD Why always Shoppers Drug mart?  ItÉ??ll be a super spreader event. Shoppers has post offices and TTC presto cards. And now a congested line of worried suspected Covid sufferers. This is insane,,
1.46094E+18,"@tbaydining @CheriDiNovo A government does not have unlimited funds (they collect from your taxes), covid was filling out hospitals and could have potentially damaged our economy that is why world governments had to intervene. How is Alzheimer's comparable?",,
1.46093E+18,"Hey HRM!  Fun fact! Asymptomatic COVID-19 Rapid testing is free!  We donÉ??t need your healthcard, just your name and a way to contact you with the results!   Get tested today at Alderney Gate Building or @hfxconventions . Both sites have take-home test kits!  #testtoprotect https://t.co/3qP7QTvzJO",,
1.46093E+18,@relizgott Yes and the other factor I'm afraid of would be covid. I pray to God it will be over by than. There's also the US/Canada border. If by chance they close it. I may have to pass????,,
1.46093E+18,Why is @fordnation passing the buck to regions to make their own Covid restrictions? What is his job? He seems to have no time for dealing with the NOW issues &amp; keeps campaigning. He is the leader of the province so fÉ??ing lead or fÉ??ing leave. Priorities are all wrong. SMFH,,
1.46093E+18,"@thewolfca having a predeparture covid test complete, before leaving the Country, makes so much more sense than leaving that data in a Foreign CountryÉ??s data base, thatÉ??s a breach, and why do it.  IÉ??d even go as far as saying, É??Why would any Country allow that?É?ù",,
1.46091E+18,@Jeremy_Hunt @PolicyExchange Hes right though so why are the people bothered lol it dont stop transmission only helps u not die lol all them ppl with their vax pass pride are spreading covid freely,,
1.4609E+18,"TW : JCM | Free Full-Text | Social Inequities in the Impact of COVID-19 Lockdown Measures on the Mental...: ...as increased anger [ 23], fear, sadness, and insomnia [ 3], and a high risk of social exclusion and stigmatisation [ 17, 20].Furthermore,É?? https://t.co/Bwnbs6K8sp https://t.co/Wgmt91IuLM",,
1.46089E+18,"HA!, HA!,Oh, it's BLOODY REAL! Ever paddle a Canoe down CENTRE STREET IN CALGARY? Or DRIVE YOUR BOAT into the PARKADE in BANKER'S TOWER? Yeah,  PARK YOUR ???õ boat ???õ in there!THE ONLY PLACE IN CANADA ???????? to elect a government of Amadans denying BOTH TOXIC -CARBON CLIMATE AND COVID! https://t.co/DdmMnC40hc",,
1.46089E+18,"@SrFe3C Sure, if they are no longer contagious. Having recent Covid infection is very protective.",,
1.46089E+18,@vCqMy1oLVB   Now IÉ??ve told The Better Business ????É?ç???¨ Bureau about my issues with @DevotedFoxwife on @Twitter harassing and blocking me on Twitter for talking ???ú about COVID-19 https://t.co/1gbmTe7CDp,,
