tweet_id,tweet_text
1462192441478549512,"I can’t believe all the lies we are told, every day. Symptomless covid, mask mandates, jabs for toddlers, coverups of multiple non-covid deaths…I no longer want any part of it. #NoMoreLies https://t.co/YNmdxHNwxX"
1462191041428267013,"@RobertMeynell @Luber905 @MargotCBoyd @RobynUrback @BrittanyAmofah @EmmaRoseTeitel @kristynwongtam I think if you'd spoken to some of the people of many ages who've suffered through the ravages of the illness and those who've been left with debilitating long COVID symptoms, you might care? Then again, this far in and you haven't figured this out, so probably not gonna happen."
1462188735005663233,Conservative MP Richard Lehoux has tested positive for COVID. https://t.co/K7iBHXosKq
1462188707302182915,"Well, it’s been since March 11, 2020 that I was at my last Oilers game (last game before Covid shut it all down) &amp; tonight I’m off to Rogers Place for the game! So SO pumped!!!"
1462185284964175879,"There are people freaking out about “symptomless covid” now. It’s a Psyop, a lie, gaslighting. Don’t let them do this to you."
1462184176904507392,"Just got my 10th travel-related COVID test. There should be a punch card where I’d get the next one free!  This antigen one, ahead of Monday flight to Columbus for next week’s #NHLJets road trip, only cost $40 at Shoppers. Prices coming down. Previously paid $170, then $70."
1462181616118374400,Smart move. We need to get out of this pandemic…and the best way out is via vaccination.  #GetVaccinatedNow 💉 https://t.co/nKtBqdfMCr
1462177703352750080,"@EricEngels @Sportsnet Is he playing dumb or is it covid fever? Yes absolutely keep this shit show going. Yes put Price on ice, and anybody else who got lingering injuries and tank this shit. In fact if you try salvaging this season you should be fired on the spot. #habs"
1462176240899702787,F*ck anybody who tries to police me. I’m ungovernable. Fakeass moral heroism for a made up TV pandemic. Absolute f*cking losers. Leave me the f*ck alone. Get Covid and die b*tch!!!!
1462175398385569795,"@Acosta yay Jim for calling out f'n fox news for all the BS they spew. Keep after them, relentlessly! I blame trump and fox for my nieces death due to Covid delta variant. She was unvaccinated and a fox/trump fan😩🤮"
1462175022525534212,@Bateson_AB @jkenney You killed how many thousands by bungling COVID-19 response?  You've made life more expensive.  You brought our healthcare system to the brink of collapse.  You continue to attack education.  @UCPCaucus corruption and incompetence are rampant.  Are you all delusional? #abpoli
1462172571810545671,"@Jdfo77 @SabiVM @AmyGreerKalisz As long as your child is not part of an open label /investigational therapeutics study, you should have no problem with vaccinating her for COVID &amp; I am happy to hear you’re planning to do so🙌🏾 If you have concerns I highly recommend speaking with your paediatrician 🙏🏾"
1462170670750699528,"@TorontoStar That's too bad.  Mandates are pointless as the Vaxxed can spread Covid, same as the unvaccinated."
1462169906376585222,"Just witnessed a anti mask protest at Harbour front, downtown Toronto. Just for ref, Ontario recorded 700 covid cases yesterday."
1462167529267281926,"Hey Antivaxxers, you can still get Covid even though your vaccinated, it can just prevent you from having to go to the ER."
1462164467811336192,"mRNA vaccine technology is going to change the world. Despite all the death and misery that the COVID Pandemic has caused, medical science is going to take a leap forward for humanity having had to deal with it. 💉🧬🔬  https://t.co/9AeBW6B3fS"
1462163005102301185,New Menu New #QRcode  Sign up for COVID test and read menu before confirm in! Gives you the option and helps speed it up for what you Really want! #lunch #brunch https://t.co/OehvSCtApW
