tweet_id,tweet_text,topic,sentiment
1.46E+18,"I can’t believe all the lies we are told, every day. Symptomless covid, mask mandates, jabs for toddlers, coverups of multiple non-covid deaths…I no longer want any part of it. #NoMoreLies https://t.co/YNmdxHNwxX",P,N
1.46E+18,"@RobertMeynell @Luber905 @MargotCBoyd @RobynUrback @BrittanyAmofah @EmmaRoseTeitel @kristynwongtam I think if you'd spoken to some of the people of many ages who've suffered through the ravages of the illness and those who've been left with debilitating long COVID symptoms, you might care? Then again, this far in and you haven't figured this out, so probably not gonna happen.",HEC,N
1.46E+18,Conservative MP Richard Lehoux has tested positive for COVID. https://t.co/K7iBHXosKq,N,NL
1.46E+18,"Well, it’s been since March 11, 2020 that I was at my last Oilers game (last game before Covid shut it all down) &amp; tonight I’m off to Rogers Place for the game! So SO pumped!!!",CR,P
1.46E+18,"There are people freaking out about “symptomless covid” now. It’s a Psyop, a lie, gaslighting. Don’t let them do this to you.",HEC,P
1.46E+18,"Just got my 10th travel-related COVID test. There should be a punch card where I’d get the next one free!  This antigen one, ahead of Monday flight to Columbus for next week’s #NHLJets road trip, only cost $40 at Shoppers. Prices coming down. Previously paid $170, then $70.",CTH,NL
1.46E+18,Smart move. We need to get out of this pandemic…and the best way out is via vaccination.  #GetVaccinatedNow 💉 https://t.co/nKtBqdfMCr,V,P
1.46E+18,"@EricEngels @Sportsnet Is he playing dumb or is it covid fever? Yes absolutely keep this shit show going. Yes put Price on ice, and anybody else who got lingering injuries and tank this shit. In fact if you try salvaging this season you should be fired on the spot. #habs",S,NL
1.46E+18,F*ck anybody who tries to police me. I’m ungovernable. Fakeass moral heroism for a made up TV pandemic. Absolute f*cking losers. Leave me the f*ck alone. Get Covid and die b*tch!!!!,P,N
1.46E+18,"@Acosta yay Jim for calling out f'n fox news for all the BS they spew. Keep after them, relentlessly! I blame trump and fox for my nieces death due to Covid delta variant. She was unvaccinated and a fox/trump fan😩🤮",V,P
1.46E+18,@Bateson_AB @jkenney You killed how many thousands by bungling COVID-19 response?  You've made life more expensive.  You brought our healthcare system to the brink of collapse.  You continue to attack education.  @UCPCaucus corruption and incompetence are rampant.  Are you all delusional? #abpoli,P,N
1.46E+18,"@Jdfo77 @SabiVM @AmyGreerKalisz As long as your child is not part of an open label /investigational therapeutics study, you should have no problem with vaccinating her for COVID &amp; I am happy to hear you’re planning to do so🙌🏾 If you have concerns I highly recommend speaking with your paediatrician 🙏🏾",V,P
1.46E+18,"@TorontoStar That's too bad.  Mandates are pointless as the Vaxxed can spread Covid, same as the unvaccinated.",SCS,N
1.46E+18,"Just witnessed a anti mask protest at Harbour front, downtown Toronto. Just for ref, Ontario recorded 700 covid cases yesterday.",CR,N
1.46E+18,"Hey Antivaxxers, you can still get Covid even though your vaccinated, it can just prevent you from having to go to the ER.",V,P
1.46E+18,"mRNA vaccine technology is going to change the world. Despite all the death and misery that the COVID Pandemic has caused, medical science is going to take a leap forward for humanity having had to deal with it. 💉🧬🔬  https://t.co/9AeBW6B3fS",CTH,P
1.46E+18,New Menu New #QRcode  Sign up for COVID test and read menu before confirm in! Gives you the option and helps speed it up for what you Really want! #lunch #brunch https://t.co/OehvSCtApW,CTH,P
1.46E+18,"Four new COVID-19 cases today.  One is in their 50s, one is in their 30s and two are in their 20s. One is a close contact of a previously announced case; two individuals are linked to the cluster of cases in Prince County; and the other is related to travel outside of PEI. #PEI",SCS,NL
1.46E+18,Union loses bid to stop TTC from enforcing COVID-19 vaccine policy  https://t.co/Gr90oaM2JT via @cp24,N,NL
1.46E+18,@towhey I live in Waterloo On our local all news station is 570 News Talk .I listen to the 7am news when getting up .We could have raging floods multiple shootings and whatever else they will start of with 5 minutes of covid nonsense and forget everything else .What a waste of air time .,SCS,N
1.46E+18,The Goat Head Church of Covid won't permit it. https://t.co/72sGBewjHQ,S,N
1.46E+18,@long_divy @harry_boid @SgtKoopman @cityofkingston @downtownktown @WhigStandard @kingstonist @MIHomeYGK @FRM_YGK @CKWS_TV @Move983 @Krock1057 @1043FreshRadio Its not being outside that is an issue. It is the closeness standing shoulder to shoulder that is the issue. Because you are outside doesnt mean you wont come in contact w/the Covid carrying MASKLESS person. Your comment is part of the reason for the spread. Be safe. Mask up.,SCS,N
1.46E+18,@davidfrum The coercion is the mistake. Educate and lead but don’t coerce. People will make the right choice for them. Let’s put this whole Covid thing in perspective!,SCS,N
1.46E+18,"Quick wellness check poll 👉…How has the forest fires, floods, pandemic  impacted you the most?  #BCStorm #BCwildfire #Covid_19",SCS,NL
1.46E+18,"2020 Andrew: “We might want a memento to hold onto for future generations to remember the Pandemic Christmas.”  Narrator: “In Fact, COVID was the memento for future generations.” https://t.co/LLvoEAChlg",CR,NL
1.46E+18,@ReneePaquette I drilled a new hole in my belt because I’m in the No Man’s Land between shape and the COVID 20lbs.,HEC,N
1.46E+18,@852852hk @BeccaPolakSays @jkenney Nothing quite as heartwarming as fans of corruption and incompetence!  How many ovations were made by the thousands of Albertans who died because of Kenney's mishandling of COVID-19 response? Bet those were pretty quiet.,P,N
1.46E+18,"@rebeccakschulz Better talk to @AdrianaLaGrange  because she's going to bully schools that try to keep kids safe via vaccination.  Get it together, @UCPCaucus.",V,P
1.46E+18,Definitely going to be eating more @Chapmans_Canada icecream. https://t.co/grjvXbNCKO,S,N
1.46E+18,It is November 20 || *️⃣NEWS RELEASE*️⃣ New Brunswick || 81 people have recoveries/ 67 new cases / active cases at 593 / Regional breakdown of new cases + More...  https://t.co/lSzPWqbBqj,N,NL
1.46E+18,Tonight is the first time in a long time I’m working a dance gig - covid really effected this end of work for me and others. I cannot explain how excited I am to be back on the podium 🥲♥️,CR,N
1.46E+18,"IT’S TIME FOR RADIO news anchors to end the incessant recitation of #COVID19 numerical data as if it was news.  Reading the periodic table, or pi to the last decimal would be more useful and interesting information.  Radio news that leads with the COVID phone book is a tune out.",SCS,N 
1.46E+18,The great fight back against the Goat Head Church of Covid. The primal battle of good against evil.,S,P
1.46E+18,How can someone be in hospital and you don’t know their vaccination status?? Asking for a friend :) https://t.co/9oNhAseJag,V,P
1.46E+18,One thing that I hope carries forward from covid times is the Going For A Walk Hang Out.  Cheap! Fun! Good for you! Perfect.,SCS,P
1.46E+18,The Goat Head of the Church of Covid has already decreed the final solution. What he doesn't know is that it will be his final solution. https://t.co/ZaS1GnXrun,SCS,N
1.46E+18,"Smash cut to Mississippi U.S. Senator Roger Wicker, who opposes vaccine mandates. ""I don't know that you see a difference in the incident of COVID in the southern states...than in other parts of the country."" Which....eeeehhhhh. https://t.co/xG1QC1eK7n",V,N
1.46E+18,@ernie_river @2009Disco @drdagly The vaccines were shown to be efficacious in trials and then assessed in the real world showing they are effective. The number of research papers on this is unprecedented. Go to PubMed and search for COVID vaccine effectiveness and see the results for yourself.,V,P
1.46E+18,@talktoskirt When I’m eligible it’s going to be moderna all the way.  Why break up the set?,V,P
1.46E+18,I chose and got a booster dose of Moderna today to back up my previous two doses of Pfizer. Feeling pretty good about that. #CovidVaccine #COVID19 #boostershot #Booster,V,P
1.46E+18,The Goat Head of the Church of Covid has clearly decreed. https://t.co/IbO0hpXSpB,SCS,N
